day_i,capital_available_day_i_start,C_i_minus_1,m_i_arr,p,M_i_arr,growth,C_i,total_orders,total_expenditure,profit,capital_available_day_i_end
0,15,,0,0.2,5,,1020000,242868.9652,5,14.57213791,24.57213791
1,24.57213791,1020000,7.283319857,0.813590148,7.305487502,1.00206502,1022106.32,243370.4944,14.58880736,14.60222967,24.58556022
2,24.58556022,1022106.32,7.428155311,0.818912441,7.315914031,1.002100657,1024253.415,243881.7325,14.74406934,14.63290395,24.47439483
3,24.47439483,1024253.415,7.331151183,0.815364891,7.226118721,1.002062528,1026365.967,244384.7453,14.5572699,14.66308472,24.58020964
4,24.58020964,1026365.967,7.234902358,0.81177628,7.432708653,1.002075268,1028495.951,244891.9093,14.66761101,14.69351456,24.60611319
5,24.60611319,1028495.951,7.409581965,0.81823851,7.293768871,1.002092551,1030648.132,245404.3582,14.70335084,14.72426149,24.62702385
6,24.62702385,1030648.132,7.320294827,0.814963563,7.320421024,1.002076339,1032788.107,245913.9008,14.64071585,14.75483405,24.74114204
7,24.74114204,1032788.107,7.484305277,0.820934677,7.303171979,1.002111287,1034968.619,246433.0957,14.78747726,14.78598574,24.73965053
8,24.73965053,1034968.619,7.225828146,0.811434373,7.530870876,1.002089672,1037131.364,246948.0599,14.75669902,14.8168836,24.7998351
9,24.7998351,1037131.364,7.53085489,0.822594025,7.280143129,1.002117819,1039327.82,247471.0511,14.81099802,14.84826307,24.83710015
10,24.83710015,1039327.82,7.345445935,0.815892,7.496198539,1.002112219,1041523.107,247993.7641,14.84164447,14.87962585,24.87508152
11,24.87508152,1041523.107,7.501260516,0.821540868,7.313307632,1.002116882,1043727.888,248518.7375,14.81456815,14.91112425,24.97163763
12,24.97163763,1043727.888,7.466034027,0.82027913,7.423644298,1.002127792,1045948.724,249047.5336,14.88967832,14.94285202,25.02481132
13,25.02481132,1045948.724,7.613096013,0.825488171,7.412379412,1.00215887,1048206.791,249585.1948,15.02547542,14.97511169,24.97444759
14,24.97444759,1048206.791,7.277203907,0.813361994,7.611515867,1.002115423,1050424.192,250113.1731,14.88871977,15.00679039,25.0925182
15,25.0925182,1050424.192,7.402442713,0.817978796,7.523715096,1.002130113,1052661.714,250645.9423,14.92615781,15.03875654,25.20511693
16,25.20511693,1052661.714,7.532324405,0.822646158,7.543714492,1.002163076,1054938.701,251188.1085,15.0760389,15.07128651,25.20036455
17,25.20036455,1054938.701,7.486025572,0.820996275,7.638696098,1.002168444,1057226.276,251732.7959,15.12472167,15.10396775,25.17961063
18,25.17961063,1057226.276,7.72187849,0.829243933,7.322941263,1.002167271,1059517.572,252278.3691,15.04481975,15.13670215,25.27149302
19,25.27149302,1059517.572,7.861977015,0.833962059,7.521209494,1.002230766,1061881.108,252841.1431,15.38318651,15.17046858,25.0587751
20,25.0587751,1061881.108,7.544531567,0.823078627,7.709005348,1.002193235,1064210.063,253395.6832,15.25353691,15.20374099,25.00897917
21,25.00897917,1064210.063,7.511625965,0.821910446,7.763971798,1.002194829,1066545.822,253951.8433,15.27559776,15.2371106,24.970492
22,24.970492,1066545.822,7.830727462,0.832921087,7.530212308,1.002225722,1068919.657,254517.0696,15.36093977,15.27102417,24.88057641
23,24.88057641,1068919.657,7.75565808,0.830393659,7.507398793,1.002205953,1071277.644,255078.5224,15.26305687,15.30471134,24.92223088
24,24.92223088,1071277.644,7.716805818,0.829070607,7.668994132,1.002224539,1073660.743,255645.9545,15.38579995,15.33875727,24.8751882
25,24.8751882,1073660.743,7.449515271,0.819684396,7.821045173,1.002189987,1076012.046,256205.8158,15.27056044,15.37234895,24.9769767
26,24.9769767,1076012.046,7.592581345,0.82477069,7.846897327,1.002226398,1078407.677,256776.232,15.43947867,15.40657392,24.94407195
27,24.94407195,1078407.677,8.005553074,0.838662069,7.652947865,1.002282281,1080868.907,257362.2675,15.65850094,15.44173605,24.72730706
28,24.72730706,1080868.907,7.939924526,0.836530436,7.890355054,1.002307571,1083363.089,257956.1493,15.83027958,15.47736896,24.37439644
29,24.37439644,1083363.089,7.818866913,0.832524287,7.928036711,1.002288394,1085842.25,258546.4546,15.74690362,15.51278728,24.1402801
30,24.1402801,1085842.25,7.810949915,0.832258896,7.752924923,1.002258427,1088294.545,259130.3629,15.56387484,15.54782177,24.12422703
